type,rep,m,infections,norm,scale,color
mad13,10,0.1778,61.88571429,61.88571429,local,black
mad13,10,0.2032,39.80952381,39.80952381,local,black
mad13,10,0.2286,54.28571429,54.28571429,local,black
mad13,10,0.254,31.92,31.92,local,black
mad13,10,0.2794,5.428571429,5.428571429,local,black
mad13,10,0.3048,43.84615385,43.84615385,local,black
mad13,10,0.3302,19,19,local,black
mad13,10,0.3556,11.56521739,11.56521739,local,black
mad13,10,0.381,11.94285714,11.94285714,local,black
mad13,10,0.4064,25.02439024,25.02439024,local,black
mad13,10,0.4318,9.12,9.12,local,black
mad13,10,0.4572,13.81818182,13.81818182,local,black
mad13,10,0.4826,8.941176471,8.941176471,local,black
mad13,10,0.508,5.302325581,5.302325581,local,black
mad13,10,0.5334,0,0,local,black
mad13,10,0.5588,3.377777778,3.377777778,local,black
mad13,10,0.5842,2.235294118,2.235294118,local,black
mad13,10,0.6096,1.52,1.52,local,black
mad13,10,0.635,27.14285714,27.14285714,local,black
mad13,10,0.6604,8.216216216,8.216216216,local,black
mad13,10,0.6858,4.56,4.56,local,black
mad13,10,0.7112,0,0,local,black
mad13,10,0.7366,3.8,3.8,local,black
mad13,10,0.762,0,0,local,black
mad13,10,0.7874,1.310344828,1.310344828,local,black
mad13,10,0.8128,0,0,local,black
mad13,10,0.8382,2.923076923,2.923076923,local,black
mad13,10,0.8636,6.909090909,6.909090909,local,black
mad13,10,0.889,2.235294118,2.235294118,local,black
mad13,10,0.9144,1,1,local,black
mad13,10,0.9398,0,0,local,black
mad13,10,0.9652,2.303030303,2.303030303,local,black
mad13,10,0.9906,1.583333333,1.583333333,local,black
mad13,10,1.016,1.085714286,1.085714286,local,black
mad13,10,1.0414,1.151515152,1.151515152,local,black
mad13,10,1.0668,2.28,2.28,local,black
mad13,10,1.0922,0,0,local,black
mad13,10,1.1176,0,0,local,black
mad13,10,1.143,0.730769231,0.730769231,local,black
mad13,10,1.1684,2.111111111,2.111111111,local,black
mad13,10,1.1938,0,0,local,black
mad13,10,1.2192,0,0,local,black
mad13,10,1.2446,1.357142857,1.357142857,local,black
mad13,10,1.27,0,0,local,black
mad13,10,1.2954,2.620689655,2.620689655,local,black
